@@,itemlabel,item,startdate,enddate
+++,Rui Maria de Araújo,Q1647887,2001-09-20,2002-05-20
+++,Rui Maria de Araújo,Q1647887,2002-05-20,2006-07-10
+++,Rui Maria de Araújo,Q1647887,2006-07-10,2007-05-19
+++,Rui Maria de Araújo,Q1647887,2007-05-19,2007-08-08
+++,Nélson Martins,Q2006557,2007-08-08,2012-08-08
+++,Sérgio Lobo,Q15849868,2012-08-08,2015-02-16
+++,Maria do Céu Sarmento Pina da Costa,Q15833898,2015-02-16,2017-09-15
+++,Rui Maria de Araújo,Q1647887,2017-09-15,2018-06-22
+++,Élia António de Araújo dos Reis Amaral,Q61723559,2018-06-22,2020-04-03
+++,Bonifácio dos Reis,Q55434158,2020-04-03,2020-05-29
