item,itemLabel,startDate,endDate,psid
Q1897008,Mariano Sabino Lopes,2007-08-08,2015-02-16,Q1897008-272599F5-98F9-463D-AD3B-AE71490BC5AF
Q60674484,Joaquim Gusmão Martins,2018-06-22,2020-05-29,Q60674484-47340DAE-B7BB-42EE-AEDE-F7FEE4E4090F
Q64416341,Francisco Benevides,2007-05-19,2007-08-08,Q64416341-DFD57185-A733-402A-81B9-B2344FBD3A03
Q727119,Estanislau da Silva,2001-09-20,2007-05-19,Q727119-32A6D707-6C43-4E85-B34E-392C1470613E
Q727119,Estanislau da Silva,2015-02-16,2018-06-22,Q727119-D327614C-A58C-4199-9B32-5423A85BAC88
Q95691949,Pedro dos Reis,2020-06-24,,Q95691949-D85FC15B-2D17-4584-8230-2264F4F04F93
