ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q12504388,V Constitutional Government of East Timor,2012-08-08,11,,,2015-02-16,11,,,Q12504389,IV Constitutional Government of East Timor,Q25460068,VI Constitutional Government of East Timor,,,,
,Q25460068,VI Constitutional Government of East Timor,2015-02-16,11,,,2017-09-15,11,,,Q12504388,V Constitutional Government of East Timor,Q46602928,VII Constitutional Government of East Timor,,,,
,Q54819597,VIII Constitutional Government of East Timor,2018-06-22,11,,,,,,,Q46602928,VII Constitutional Government of East Timor,,,Q46602928,VII Constitutional Government of East Timor,,
