pageid,title
49030,José Ramos-Horta
8964180,Taur Matan Ruak
15775604,Aniceto Guterres Lopes
24889820,Adaljiza Magno
62967124,Fidelis Leite Magalhães
62986511,Longuinhos dos Santos
62994201,Armanda Berta dos Santos
62994610,José Agustinho da Silva
62995503,Filomeno da Paixão de Jesus
64454750,Odete Maria Belo
64683600,Lere Anan Timur
65943642,José Reis (politician)
65951078,Miguel Pereira de Carvalho
65984187,Joaquim Amaral
65992190,Rui Gomes (politician)
66003014,Francisco Jerónimo
66009564,Júlio Sarmento da Costa
66017489,José Lucas da Silva
66072849,Pedro dos Reis
66107749,Víctor da Conceição Soares
66144633,Armindo Maia
